epoch,step,test_loss,time_forward,train_loss,valid_loss
101,407,,1.1254421472549438,10822.6337890625,
102,411,,,,11169.177734375
102,411,,1.1385334730148315,10813.2841796875,
103,415,,,,11159.818359375
103,415,,1.138414978981018,10803.8916015625,
104,419,,,,11148.517578125
104,419,,1.1365653276443481,10799.3525390625,
105,423,,,,11147.0517578125
105,423,,1.1309252977371216,10789.5283203125,
106,427,,,,11137.7470703125
106,427,,1.1294739246368408,10782.048828125,
107,431,,,,11123.4560546875
107,431,,1.134621262550354,10775.8994140625,
108,435,,,,11118.8876953125
108,435,,1.1308948993682861,10769.8525390625,
109,439,,,,11116.5400390625
109,439,,1.1277365684509277,10762.1435546875,
110,443,,,,11111.9921875
110,443,,1.1280256509780884,10760.662109375,
111,447,,,,11108.333984375
111,447,,1.1276811361312866,10751.7978515625,
112,451,,,,11098.0576171875
112,451,,1.133192777633667,10749.208984375,
113,455,,,,11093.18359375
113,455,,1.1356910467147827,10738.3798828125,
114,459,,,,11083.337890625
114,459,,1.1358360052108765,10733.5458984375,
115,463,,,,11083.62890625
115,463,,1.1246516704559326,10731.79296875,
116,467,,,,11081.82421875
116,467,,1.1298259496688843,10720.5400390625,
117,471,,,,11071.3046875
117,471,,1.131064772605896,10717.08203125,
118,475,,,,11059.642578125
118,475,,1.134285807609558,10710.552734375,
119,479,,,,11057.2744140625
119,479,,1.1216039657592773,10708.1650390625,
120,483,,,,11059.0283203125
120,483,,1.1223520040512085,10701.6474609375,
121,487,,,,11047.52734375
121,487,,1.1210193634033203,10693.8095703125,
122,491,,,,11040.40234375
122,491,,1.118464708328247,10686.2744140625,
123,495,,,,11041.3701171875
123,495,,1.132275938987732,10685.0419921875,
124,499,,,,11034.287109375
124,499,,1.1344858407974243,10677.1357421875,
125,503,,,,11026.248046875
125,503,,1.1396408081054688,10673.744140625,
126,507,,,,11022.998046875
126,507,,1.1329342126846313,10663.7734375,
127,511,,,,11018.7685546875
127,511,,1.1323621273040771,10662.689453125,
128,515,,,,11011.46484375
128,515,,1.1317580938339233,10659.21484375,
129,519,,,,11005.431640625
129,519,,1.1348410844802856,10654.3125,
130,523,,,,11004.1357421875
130,523,,1.1360409259796143,10647.8671875,
