epoch,step,time_forward,train_loss,valid_loss
80,566,,,10408.9443359375
80,566,0.8200684785842896,10017.349609375,
81,573,,,10402.990234375
81,573,0.8170182704925537,10015.3828125,
82,580,,,10402.251953125
82,580,0.8160513639450073,10016.009765625,
83,587,,,10403.5224609375
83,587,0.8158935904502869,10015.9404296875,
84,594,,,10402.7802734375
84,594,0.8221640586853027,10016.7578125,
85,601,,,10405.1572265625
85,601,0.8142061233520508,10016.2138671875,
86,608,,,10405.6064453125
86,608,0.8194842338562012,10017.6669921875,
87,615,,,10409.0361328125
87,615,0.8201436996459961,10023.0,
88,622,,,10408.3232421875
88,622,0.8175444006919861,10023.9814453125,
89,629,,,10405.5537109375
89,629,0.8204818964004517,10019.62890625,
90,636,,,10417.6103515625
90,636,0.8186979293823242,10016.4599609375,
91,643,,,10406.240234375
